id,nom_dept,nom_com,id_com,nom_station,code_station_ue,typologie,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x,y
60,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,40,ug.m-3,journaliere,2017/11/18 23:00:00+00,2017/11/19 23:00:00+00,1,651166,6862011
61,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,45,ug.m-3,journaliere,2017/11/19 23:00:00+00,2017/11/20 23:00:00+00,1,651166,6862011
62,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,49,ug.m-3,journaliere,2017/11/20 23:00:00+00,2017/11/21 23:00:00+00,1,651166,6862011
63,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,51,ug.m-3,journaliere,2017/11/21 23:00:00+00,2017/11/22 23:00:00+00,1,651166,6862011
64,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,50,ug.m-3,journaliere,2017/11/22 23:00:00+00,2017/11/23 23:00:00+00,1,651166,6862011
65,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,52,ug.m-3,journaliere,2017/11/23 23:00:00+00,2017/11/24 23:00:00+00,1,651166,6862011
66,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,37,ug.m-3,journaliere,2017/11/24 23:00:00+00,2017/11/25 23:00:00+00,1,651166,6862011
67,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,30,ug.m-3,journaliere,2017/11/25 23:00:00+00,2017/11/26 23:00:00+00,1,651166,6862011
68,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,37,ug.m-3,journaliere,2017/11/26 23:00:00+00,2017/11/27 23:00:00+00,1,651166,6862011
69,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,53,ug.m-3,journaliere,2017/11/27 23:00:00+00,2017/11/28 23:00:00+00,1,651166,6862011
70,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,51,ug.m-3,journaliere,2017/11/28 23:00:00+00,2017/11/29 23:00:00+00,1,651166,6862011
71,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,51,ug.m-3,journaliere,2017/11/29 23:00:00+00,2017/11/30 23:00:00+00,1,651166,6862011
72,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,56,ug.m-3,journaliere,2017/11/30 23:00:00+00,2017/12/01 23:00:00+00,1,651166,6862011
73,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,52,ug.m-3,journaliere,2017/12/01 23:00:00+00,2017/12/02 23:00:00+00,1,651166,6862011
74,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,45,ug.m-3,journaliere,2017/12/02 23:00:00+00,2017/12/03 23:00:00+00,1,651166,6862011
75,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,59,ug.m-3,journaliere,2017/12/03 23:00:00+00,2017/12/04 23:00:00+00,1,651166,6862011
76,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,73,ug.m-3,journaliere,2017/12/04 23:00:00+00,2017/12/05 23:00:00+00,1,651166,6862011
77,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,53,ug.m-3,journaliere,2017/12/05 23:00:00+00,2017/12/06 23:00:00+00,1,651166,6862011
78,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,43,ug.m-3,journaliere,2017/12/06 23:00:00+00,2017/12/07 23:00:00+00,1,651166,6862011
79,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,43,ug.m-3,journaliere,2017/12/07 23:00:00+00,2017/12/08 23:00:00+00,1,651166,6862011
80,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,51,ug.m-3,journaliere,2017/12/08 23:00:00+00,2017/12/09 23:00:00+00,1,651166,6862011
81,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,36,ug.m-3,journaliere,2017/12/09 23:00:00+00,2017/12/10 23:00:00+00,1,651166,6862011
82,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,38,ug.m-3,journaliere,2017/12/10 23:00:00+00,2017/12/11 23:00:00+00,1,651166,6862011
