Station;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

17.10.2019;34;43;96;
18.10.2019;33;38;88;
19.10.2019;26;36;76;
20.10.2019;29;42;86;
21.10.2019;55;47;131;
22.10.2019;24;37;74;
23.10.2019;37;39;96;
24.10.2019;28;42;85;
25.10.2019;24;35;71;
26.10.2019;17;27;53;
27.10.2019;7;19;30;
28.10.2019;13;27;47;
29.10.2019;14;34;56;
30.10.2019;54;58;140;
31.10.2019;54;60;143;
01.11.2019;31;46;92;
02.11.2019;34;34;86;
03.11.2019;27;27;69;
04.11.2019;35;40;94;
05.11.2019;27;36;78;
06.11.2019;22;31;64;
07.11.2019;35;39;93;
08.11.2019;45;40;109;
09.11.2019;17;28;54;
10.11.2019;25;35;73;
11.11.2019;34;40;93;
12.11.2019;49;43;118;
13.11.2019;49;50;125;
14.11.2019;36;43;98;
15.11.2019;26;33;72;
16.11.2019;29;35;80;
17.11.2019;27;34;74;
18.11.2019;36;39;94;
19.11.2019;35;38;91;
20.11.2019;24;41;78;
21.11.2019;43;40;105;
22.11.2019;43;40;105;
23.11.2019;22;26;60;
24.11.2019;20;27;57;
25.11.2019;34;29;82;
26.11.2019;50;35;111;
27.11.2019;39;42;102;
28.11.2019;20;31;61;
29.11.2019;9;22;35;
30.11.2019;18;32;59;
01.12.2019;20;35;64;
02.12.2019;11;28;46;
03.12.2019;37;42;99;
04.12.2019;41;45;108;
05.12.2019;52;49;129;
06.12.2019;29;41;85;
07.12.2019;10;19;34;
08.12.2019;10;19;34;
09.12.2019;21;34;66;
10.12.2019;20;37;67;
11.12.2019;34;47;100;
12.12.2019;48;45;119;
13.12.2019;41;47;110;
14.12.2019;22;33;67;
15.12.2019;11;21;38;
16.12.2019;53;58;139;
17.12.2019;53;52;133;
18.12.2019;35;50;104;
19.12.2019;59;51;141;
20.12.2019;48;55;129;
21.12.2019;34;47;99;
22.12.2019;30;44;89;
23.12.2019;13;30;50;
24.12.2019;18;27;54;
25.12.2019;3;17;21;
26.12.2019;9;20;34;
27.12.2019;13;26;46;
28.12.2019;11;23;40;
29.12.2019;35;42;95;
30.12.2019;27;40;82;
31.12.2019;6;25;34;
01.01.2020;15;33;55;
02.01.2020;53;56;137;
03.01.2020;20;28;59;
04.01.2020;4;20;27;
05.01.2020;16;32;56;
06.01.2020;21;37;68;
07.01.2020;27;38;79;
08.01.2020;22;34;68;
09.01.2020;32;34;83;
10.01.2020;15;27;49;
11.01.2020;12;25;44;
12.01.2020;14;22;44;
13.01.2020;32;39;88;
14.01.2020;25;37;75;
15.01.2020;22;35;69;
16.01.2020;31;53;100;
17.01.2020;34;48;99;
18.01.2020;14;30;52;
19.01.2020;7;25;35;
20.01.2020;22;40;73;
21.01.2020;18;40;66;
22.01.2020;10;32;47;
23.01.2020;26;47;86;
24.01.2020;29;40;84;
25.01.2020;28;32;75;
26.01.2020;24;29;66;
27.01.2020;36;44;99;
28.01.2020;18;31;59;
29.01.2020;8;20;32;
30.01.2020;12;29;48;
31.01.2020;11;26;42;
01.02.2020;9;20;34;
02.02.2020;7;22;33;
03.02.2020;10;27;41;
04.02.2020;4;22;28;
05.02.2020;10;23;38;
06.02.2020;9;26;39;
07.02.2020;21;47;79;
08.02.2020;26;39;79;
09.02.2020;13;22;42;
10.02.2020;9;18;33;
11.02.2020;7;16;26;
12.02.2020;7;17;28;
13.02.2020;19;34;64;
14.02.2020;22;38;73;
15.02.2020;28;38;81;
16.02.2020;11;22;38;
17.02.2020;11;22;38;
18.02.2020;11;22;39;
19.02.2020;12;24;42;
20.02.2020;34;41;93;
21.02.2020;11;23;39;
22.02.2020;8;17;30;
23.02.2020;12;24;42;
24.02.2020;15;26;49;
25.02.2020;10;24;40;
26.02.2020;15;32;55;
27.02.2020;17;35;61;
28.02.2020;12;29;47;
29.02.2020;18;28;55;
01.03.2020;14;23;45;
02.03.2020;21;40;72;
03.03.2020;13;34;54;
04.03.2020;18;36;63;
05.03.2020;27;38;80;
06.03.2020;22;42;76;
07.03.2020;5;25;33;
08.03.2020;18;32;60;
09.03.2020;21;41;73;
10.03.2020;20;31;61;
11.03.2020;9;24;39;
12.03.2020;8;19;31;
13.03.2020;8;18;30;
14.03.2020;15;34;56;
15.03.2020;9;23;36;
16.03.2020;25;45;82;
17.03.2020;23;45;81;
18.03.2020;9;30;43;
19.03.2020;8;22;35;
20.03.2020;10;19;35;
21.03.2020;6;10;19;
22.03.2020;6;12;21;
23.03.2020;13;27;46;
24.03.2020;13;34;54;
25.03.2020;11;26;42;
26.03.2020;7;23;34;
27.03.2020;7;24;35;
28.03.2020;2;16;19;
29.03.2020;2;8;11;
30.03.2020;5;21;28;
31.03.2020;5;17;24;
01.04.2020;4;20;26;
02.04.2020;5;16;23;
03.04.2020;3;14;19;
04.04.2020;5;19;27;
05.04.2020;6;22;32;
06.04.2020;10;37;53;
07.04.2020;5;24;33;
08.04.2020;10;35;50;
09.04.2020;4;20;26;
10.04.2020;3;13;18;
11.04.2020;6;24;33;
12.04.2020;6;25;34;
13.04.2020;1;6;8;
14.04.2020;2;12;15;
15.04.2020;3;13;18;
16.04.2020;4;19;26;
17.04.2020;4;17;23;
18.04.2020;5;14;22;
