Station;220 Karl-Marx-Straße;220 Karl-Marx-Straße;220 Karl-Marx-Straße;220 Karl-Marx-Straße
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

24.10.2019;57;42;44;107
25.10.2019;26;65;52;152
26.10.2019;16;33;38;89
27.10.2019;13;23;31;66
28.10.2019;15;67;56;159
29.10.2019;17;32;45;93
30.10.2019;18;51;64;141
31.10.2019;32;71;62;171
01.11.2019;38;51;49;127
02.11.2019;15;51;41;120
03.11.2019;21;24;27;64
04.11.2019;18;85;52;181
05.11.2019;14;69;53;159
06.11.2019;16;80;50;173
07.11.2019;21;65;46;145
08.11.2019;30;50;40;116
09.11.2019;28;59;41;131
10.11.2019;27;33;37;88
11.11.2019;26;55;44;128
12.11.2019;25;71;46;155
13.11.2019;28;71;50;159
14.11.2019;27;39;40;100
15.11.2019;34;14;26;47
16.11.2019;31;56;41;127
17.11.2019;30;16;26;51
18.11.2019;26;61;43;136
19.11.2019;16;70;49;156
20.11.2019;23;23;39;74
21.11.2019;43;26;27;67
22.11.2019;34;52;36;116
23.11.2019;39;10;19;34
24.11.2019;43;9;17;30
25.11.2019;50;26;21;61
26.11.2019;33;70;37;143
27.11.2019;22;57;41;128
28.11.2019;11;41;40;103
29.11.2019;13;51;44;122
30.11.2019;18;72;59;170
01.12.2019;28;38;44;102
02.12.2019;18;63;50;146
03.12.2019;19;117;60;236
04.12.2019;28;74;51;163
05.12.2019;34;83;55;182
06.12.2019;28;58;51;139
07.12.2019;12;36;36;90
08.12.2019;10;20;25;56
09.12.2019;12;57;49;137
10.12.2019;18;73;60;171
11.12.2019;20;49;52;127
12.12.2019;24;71;49;158
13.12.2019;30;41;40;101
14.12.2019;14;45;46;115
15.12.2019;9;20;31;61
16.12.2019;19;89;60;196
17.12.2019;27;86;57;188
18.12.2019;18;68;63;166
19.12.2019;33;49;39;113
20.12.2019;35;60;50;141
21.12.2019;22;62;53;147
22.12.2019;26;22;32;66
23.12.2019;18;68;53;158
24.12.2019;15;32;37;85
25.12.2019;12;20;28;58
26.12.2019;12;30;35;81
27.12.2019;12;15;29;52
28.12.2019;12;30;38;83
29.12.2019;17;34;42;94
30.12.2019;19;72;56;166
31.12.2019;30;39;46;106
01.01.2020;49;32;44;93
02.01.2020;33;81;62;186
03.01.2020;16;41;42;105
04.01.2020;12;31;39;87
05.01.2020;16;30;43;88
06.01.2020;20;59;55;146
07.01.2020;26;92;55;195
08.01.2020;16;48;43;116
09.01.2020;17;60;41;132
10.01.2020;15;52;45;124
11.01.2020;14;35;42;96
12.01.2020;17;20;27;57
13.01.2020;17;59;48;137
14.01.2020;18;45;47;116
15.01.2020;16;47;49;122
16.01.2020;21;70;69;175
17.01.2020;34;53;51;132
18.01.2020;20;46;53;124
19.01.2020;21;22;36;69
20.01.2020;21;74;58;172
21.01.2020;22;75;60;174
22.01.2020;23;51;52;130
23.01.2020;26;78;69;188
24.01.2020;36;74;54;167
25.01.2020;23;53;42;123
26.01.2020;26;27;30;72
27.01.2020;32;65;50;149
28.01.2020;12;47;45;116
29.01.2020;13;38;39;97
30.01.2020;14;52;50;130
31.01.2020;16;59;54;144
01.02.2020;9;40;42;103
02.02.2020;11;23;36;72
03.02.2020;12;55;53;138
04.02.2020;13;39;44;104
05.02.2020;10;35;39;92
06.02.2020;19;102;51;206
07.02.2020;24;40;51;112
08.02.2020;23;42;45;109
09.02.2020;21;13;24;44
10.02.2020;10;48;41;114
11.02.2020;16;34;34;86
12.02.2020;13;34;35;87
13.02.2020;15;48;50;124
14.02.2020;27;77;55;173
15.02.2020;21;42;44;108
16.02.2020;10;13;25;44
17.02.2020;50;38;40;98
18.02.2020;35;43;42;109
19.02.2020;12;43;42;108
20.02.2020;18;49;44;119
21.02.2020;14;43;41;107
22.02.2020;11;23;29;64
23.02.2020;8;16;27;52
24.02.2020;13;42;41;105
25.02.2020;11;45;49;118
26.02.2020;14;54;54;137
27.02.2020;16;49;52;127
28.02.2020;18;53;55;137
29.02.2020;19;29;35;79
01.03.2020;8;19;30;59
02.03.2020;16;47;52;124
03.03.2020;18;40;47;109
04.03.2020;24;60;61;152
05.03.2020;23;38;44;101
06.03.2020;23;33;47;97
07.03.2020;28;35;44;97
08.03.2020;22;20;35;65
09.03.2020;21;60;60;152
10.03.2020;12;37;42;99
11.03.2020;12;41;45;109
12.03.2020;11;34;38;90
13.03.2020;12;35;39;91
14.03.2020;17;20;46;77
15.03.2020;14;10;26;42
16.03.2020;38;72;68;179
17.03.2020;31;57;63;150
18.03.2020;30;38;57;115
19.03.2020;24;26;36;76
20.03.2020;17;6;21;30
21.03.2020;10;3;12;16
22.03.2020;9;2;11;15
23.03.2020;17;10;30;45
24.03.2020;24;12;36;54
25.03.2020;32;6;25;35
26.03.2020;38;5;21;29
27.03.2020;54;4;27;33
28.03.2020;54;4;24;31
29.03.2020;15;2;12;15
30.03.2020;13;31;42;90
31.03.2020;11;12;32;50
01.04.2020;15;28;44;88
02.04.2020;20;31;40;87
03.04.2020;18;22;34;67
04.04.2020;17;9;33;47
05.04.2020;23;3;23;28
06.04.2020;41;19;53;82
07.04.2020;30;15;37;60
08.04.2020;33;28;56;99
09.04.2020;25;15;40;63
10.04.2020;14;6;20;29
11.04.2020;24;8;30;43
12.04.2020;24;9;35;49
13.04.2020;14;9;14;27
14.04.2020;15;19;27;56
15.04.2020;21;25;39;78
16.04.2020;26;22;45;79
17.04.2020;20;6;22;31
18.04.2020;15;3;14;19
19.04.2020;10;1;8;10
20.04.2020;14;4;15;22
21.04.2020;24;4;16;21
22.04.2020;21;4;19;25
