Station;018 Schöneberg;018 Schöneberg;018 Schöneberg
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte

05.11.2019;4;26;33
06.11.2019;4;23;29
07.11.2019;12;28;45
08.11.2019;28;35;78
09.11.2019;4;24;30
10.11.2019;8;27;40
11.11.2019;9;28;43
12.11.2019;10;30;46
13.11.2019;14;36;57
14.11.2019;9;31;45
15.11.2019;5;24;31
16.11.2019;7;29;40
17.11.2019;12;30;48
18.11.2019;12;30;48
19.11.2019;7;27;39
20.11.2019;5;36;44
21.11.2019;13;27;47
22.11.2019;15;29;51
23.11.2019;6;23;31
24.11.2019;6;20;29
25.11.2019;15;21;44
26.11.2019;17;26;52
27.11.2019;10;29;44
28.11.2019;3;20;24
29.11.2019;1;14;16
30.11.2019;3;23;27
01.12.2019;2;25;28
02.12.2019;2;19;22
03.12.2019;12;33;51
04.12.2019;16;33;58
05.12.2019;22;38;71
06.12.2019;5;33;41
07.12.2019;1;11;12
08.12.2019;1;10;12
09.12.2019;3;22;27
10.12.2019;4;28;34
11.12.2019;6;35;44
12.12.2019;12;33;51
13.12.2019;10;32;48
14.12.2019;3;21;25
15.12.2019;1;15;17
16.12.2019;27;44;86
17.12.2019;20;41;71
18.12.2019;18;37;64
19.12.2019;25;34;73
20.12.2019;21;39;71
21.12.2019;9;35;49
22.12.2019;7;29;41
23.12.2019;2;21;25
24.12.2019;2;19;22
25.12.2019;1;14;15
26.12.2019;1;13;14
27.12.2019;2;19;23
28.12.2019;1;23;24
29.12.2019;3;30;35
30.12.2019;4;32;38
31.12.2019;1;18;19
01.01.2020;2;25;28
02.01.2020;22;46;79
03.01.2020;2;23;26
04.01.2020;1;11;12
05.01.2020;2;23;26
06.01.2020;3;25;30
07.01.2020;8;34;46
08.01.2020;2;28;31
09.01.2020;9;26;39
10.01.2020;2;19;22
11.01.2020;1;16;18
12.01.2020;1;15;17
13.01.2020;5;27;34
14.01.2020;4;29;35
15.01.2020;3;28;33
16.01.2020;9;41;56
17.01.2020;10;35;50
18.01.2020;2;20;23
19.01.2020;1;18;19
20.01.2020;4;30;37
21.01.2020;6;33;42
22.01.2020;2;25;29
23.01.2020;7;34;44
24.01.2020;14;34;55
25.01.2020;2;23;27
26.01.2020;3;21;26
27.01.2020;13;31;52
28.01.2020;2;19;23
29.01.2020;1;14;15
30.01.2020;2;19;22
31.01.2020;1;18;20
01.02.2020;1;14;15
02.02.2020;1;12;13
03.02.2020;2;15;18
04.02.2020;1;16;17
05.02.2020;1;15;17
06.02.2020;2;18;20
07.02.2020;6;37;47
08.02.2020;3;26;31
09.02.2020;1;17;18
10.02.2020;1;12;13
11.02.2020;1;9;10
12.02.2020;3;12;16
13.02.2020;3;24;28
14.02.2020;9;31;45
15.02.2020;5;25;32
16.02.2020;1;15;16
17.02.2020;1;11;14
18.02.2020;1;15;16
19.02.2020;1;15;16
20.02.2020;5;26;33
21.02.2020;0;16;16
22.02.2020;1;10;11
23.02.2020;1;14;15
24.02.2020;2;14;16
25.02.2020;2;15;19
26.02.2020;2;22;25
27.02.2020;2;23;26
28.02.2020;1;19;22
29.02.2020;1;16;17
01.03.2020;1;16;18
02.03.2020;4;29;35
03.03.2020;4;28;35
04.03.2020;2;25;29
05.03.2020;7;26;36
06.03.2020;5;32;40
07.03.2020;1;15;17
08.03.2020;1;22;24
09.03.2020;3;30;34
10.03.2020;2;22;26
11.03.2020;1;16;17
12.03.2020;1;14;16
13.03.2020;1;12;13
14.03.2020;2;25;28
15.03.2020;1;15;17
16.03.2020;5;35;43
17.03.2020;11;39;56
18.03.2020;3;26;31
19.03.2020;2;23;26
20.03.2020;1;17;19
21.03.2020;1;9;11
22.03.2020;2;15;18
23.03.2020;3;23;28
24.03.2020;3;27;32
25.03.2020;2;23;26
26.03.2020;2;21;24
27.03.2020;1;23;25
