Station;282 Karlshorst;282 Karlshorst;282 Karlshorst;282 Karlshorst
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Schwefeldioxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

17.01.2020;12;24;42;
18.01.2020;2;22;24;
19.01.2020;1;18;19;
20.01.2020;15;33;56;
21.01.2020;8;34;46;
22.01.2020;3;28;33;
23.01.2020;11;42;58;
24.01.2020;18;34;61;
25.01.2020;3;20;24;
26.01.2020;3;19;23;
27.01.2020;15;28;50;
28.01.2020;2;17;20;
29.01.2020;1;15;17;
30.01.2020;2;18;21;
31.01.2020;2;18;20;
01.02.2020;0;12;12;
02.02.2020;1;14;15;
03.02.2020;2;22;24;
04.02.2020;1;15;16;
05.02.2020;2;14;16;
06.02.2020;2;23;25;
07.02.2020;2;22;25;
08.02.2020;2;18;20;
09.02.2020;1;10;12;
10.02.2020;2;12;15;
11.02.2020;1;10;12;
12.02.2020;1;12;12;
13.02.2020;2;16;19;
14.02.2020;18;31;59;
15.02.2020;5;17;24;
16.02.2020;1;8;9;
17.02.2020;1;10;12;
18.02.2020;1;13;15;
19.02.2020;1;16;18;
20.02.2020;3;19;23;
21.02.2020;2;14;17;
22.02.2020;1;10;10;
23.02.2020;1;10;11;
24.02.2020;2;13;16;
25.02.2020;2;17;20;
26.02.2020;4;28;33;
27.02.2020;2;23;27;
28.02.2020;2;21;24;
29.02.2020;1;10;12;
01.03.2020;1;13;13;
02.03.2020;3;19;23;
03.03.2020;5;24;32;
04.03.2020;6;31;41;
05.03.2020;6;18;27;
06.03.2020;3;19;24;
07.03.2020;1;20;21;
08.03.2020;1;19;21;
09.03.2020;7;33;44;
10.03.2020;2;16;19;
11.03.2020;1;15;16;
12.03.2020;1;12;14;
13.03.2020;1;11;13;
14.03.2020;2;16;18;
15.03.2020;1;7;8;
16.03.2020;13;29;49;
17.03.2020;15;31;54;
18.03.2020;10;28;43;
19.03.2020;4;24;31;
20.03.2020;1;9;10;
21.03.2020;0;5;5;
22.03.2020;1;9;10;
23.03.2020;2;18;21;
24.03.2020;2;17;20;
25.03.2020;1;14;14;
26.03.2020;1;11;13;
27.03.2020;1;15;15;
28.03.2020;1;13;13;
29.03.2020;0;7;7;
30.03.2020;3;20;25;
31.03.2020;3;21;26;
01.04.2020;3;22;26;
02.04.2020;1;16;18;
03.04.2020;2;14;17;
04.04.2020;1;15;16;
05.04.2020;0;11;11;
06.04.2020;1;17;18;
07.04.2020;6;19;28;
08.04.2020;2;22;25;
09.04.2020;3;21;25;
10.04.2020;1;11;13;
11.04.2020;1;17;19;
12.04.2020;1;19;21;
13.04.2020;1;5;7;
14.04.2020;2;9;12;
15.04.2020;2;15;17;
16.04.2020;4;23;28;
17.04.2020;1;12;14;
18.04.2020;1;6;7;
19.04.2020;0;3;3;
20.04.2020;1;7;8;
21.04.2020;1;6;8;
22.04.2020;1;9;11;
23.04.2020;2;19;22;
24.04.2020;6;22;31;
25.04.2020;1;5;7;
26.04.2020;1;13;15;
27.04.2020;4;24;31;
28.04.2020;6;22;30;
29.04.2020;2;14;17;
30.04.2020;2;13;16;
01.05.2020;0;6;6;
02.05.2020;1;9;10;
03.05.2020;1;13;14;
04.05.2020;8;25;38;
05.05.2020;1;13;15;
06.05.2020;2;11;14;
07.05.2020;2;18;21;
08.05.2020;2;17;20;
09.05.2020;2;14;16;
10.05.2020;0;10;10;
11.05.2020;2;12;14;
12.05.2020;3;13;17;
13.05.2020;3;19;24;
14.05.2020;1;10;12;
15.05.2020;4;14;21;
16.05.2020;1;10;11;
17.05.2020;0;9;9;
18.05.2020;1;18;19;
19.05.2020;2;15;18;
20.05.2020;1;13;15;
21.05.2020;0;6;7;
22.05.2020;1;8;9;
23.05.2020;1;9;9;
24.05.2020;1;9;10;
25.05.2020;2;10;14;
26.05.2020;3;11;15;
27.05.2020;4;14;19;
28.05.2020;1;7;9;
29.05.2020;1;7;8;
30.05.2020;1;4;5;
31.05.2020;1;5;5;
01.06.2020;0;5;5;
02.06.2020;2;12;14;
03.06.2020;1;8;9;
04.06.2020;1;10;11;
05.06.2020;2;9;12;
06.06.2020;0;6;6;
07.06.2020;0;10;10;
08.06.2020;3;13;17;
09.06.2020;1;9;11;
10.06.2020;1;8;9;
11.06.2020;2;13;16;
12.06.2020;1;6;8;
13.06.2020;1;7;8;
14.06.2020;0;5;5;
15.06.2020;0;8;8;
16.06.2020;1;16;18;
17.06.2020;1;12;14;
18.06.2020;1;8;9;
19.06.2020;1;12;14;
20.06.2020;1;7;8;
21.06.2020;1;7;8;
22.06.2020;3;17;21;
23.06.2020;1;10;12;
24.06.2020;1;10;12;
25.06.2020;1;5;7;
26.06.2020;1;9;10;
27.06.2020;1;9;10;
28.06.2020;0;9;9;
29.06.2020;2;15;18;
30.06.2020;1;13;14;
01.07.2020;1;14;16;
02.07.2020;1;13;15;
03.07.2020;1;12;13;
04.07.2020;1;8;9;
05.07.2020;0;6;6;
06.07.2020;1;8;9;
07.07.2020;1;8;10;
08.07.2020;1;12;14;
09.07.2020;2;16;19;
10.07.2020;3;11;15;
11.07.2020;1;9;11;
12.07.2020;0;8;8;
13.07.2020;4;16;21;
14.07.2020;1;16;17;
15.07.2020;1;15;16;
16.07.2020;2;11;14;
17.07.2020;3;18;23;
18.07.2020;3;12;17;
19.07.2020;1;10;12;
20.07.2020;1;14;16;
21.07.2020;1;9;11;
22.07.2020;1;11;13;
23.07.2020;2;16;18;
24.07.2020;1;13;15;
25.07.2020;1;12;14;
26.07.2020;1;9;10;
27.07.2020;4;11;16;
28.07.2020;1;10;10;
29.07.2020;1;9;11;
30.07.2020;1;14;16;
31.07.2020;2;14;17;
01.08.2020;0;7;7;
02.08.2020;0;9;9;
03.08.2020;1;9;11;
04.08.2020;2;15;17;
05.08.2020;2;11;13;
06.08.2020;0;7;8;
07.08.2020;1;12;14;
08.08.2020;0;14;14;
09.08.2020;0;8;8;
10.08.2020;2;10;12;
11.08.2020;1;6;7;
12.08.2020;1;8;8;
13.08.2020;1;16;17;
14.08.2020;0;14;14;
15.08.2020;0;13;13;
16.08.2020;0;6;7;
17.08.2020;1;10;11;
18.08.2020;1;16;17;
19.08.2020;1;16;17;
20.08.2020;1;15;16;
21.08.2020;2;15;18;
22.08.2020;1;13;14;
23.08.2020;1;7;8;
24.08.2020;2;10;12;
25.08.2020;1;14;16;
26.08.2020;1;12;13;
27.08.2020;2;12;15;
28.08.2020;2;18;20;
29.08.2020;1;19;20;
30.08.2020;2;12;15;
31.08.2020;2;13;16;
01.09.2020;3;13;17;
02.09.2020;3;21;26;
03.09.2020;3;15;19;
04.09.2020;2;16;19;
05.09.2020;1;15;17;
06.09.2020;1;10;11;
07.09.2020;4;23;29;
08.09.2020;4;16;23;
09.09.2020;3;15;19;
10.09.2020;3;17;22;
11.09.2020;3;18;23;
12.09.2020;4;13;19;
13.09.2020;1;19;20;
14.09.2020;6;21;30;
15.09.2020;1;20;23;
16.09.2020;7;19;29;
17.09.2020;1;8;9;
18.09.2020;4;18;25;
19.09.2020;1;13;14;
20.09.2020;0;10;11;
21.09.2020;2;19;23;
22.09.2020;4;27;32;
23.09.2020;4;31;38;
24.09.2020;1;21;24;
25.09.2020;6;25;35;
26.09.2020;3;17;21;
27.09.2020;2;13;15;
28.09.2020;4;13;19;
29.09.2020;18;26;54;
30.09.2020;24;21;58;
01.10.2020;7;13;24;
02.10.2020;0;9;10;
03.10.2020;1;9;10;
04.10.2020;1;12;14;
05.10.2020;3;18;22;
06.10.2020;1;12;14;
07.10.2020;3;20;24;
08.10.2020;3;16;19;
09.10.2020;2;17;21;
10.10.2020;1;15;16;
11.10.2020;3;13;17;
12.10.2020;15;23;46;
13.10.2020;23;15;50;
14.10.2020;2;7;10;
15.10.2020;1;7;8;
16.10.2020;1;11;13;
17.10.2020;2;12;14;
18.10.2020;1;12;14;
19.10.2020;9;25;39;
20.10.2020;5;14;21;
21.10.2020;2;20;23;
