Station;171 Mitte;171 Mitte;171 Mitte;171 Mitte
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Tageswerte;Tageswerte;Tageswerte;Tageswerte

09.01.2020;14;5;27;34
10.01.2020;11;1;20;22
11.01.2020;9;1;16;18
12.01.2020;14;1;16;18
13.01.2020;14;4;27;32
14.01.2020;14;2;27;31
15.01.2020;13;1;25;27
16.01.2020;16;7;42;52
17.01.2020;29;7;33;44
18.01.2020;14;1;21;23
19.01.2020;18;2;17;19
20.01.2020;19;8;35;47
21.01.2020;18;5;35;43
22.01.2020;19;3;28;32
23.01.2020;18;6;35;44
24.01.2020;31;11;37;54
25.01.2020;18;2;25;28
26.01.2020;23;3;22;27
27.01.2020;29;10;31;46
28.01.2020;10;1;19;22
29.01.2020;11;2;17;19
30.01.2020;12;1;22;22
31.01.2020;12;2;21;23
01.02.2020;7;1;16;17
02.02.2020;9;1;13;14
03.02.2020;9;2;21;24
04.02.2020;10;2;17;19
05.02.2020;7;3;17;21
06.02.2020;16;5;24;31
07.02.2020;19;2;30;34
08.02.2020;20;2;25;27
09.02.2020;18;1;14;15
10.02.2020;7;1;14;15
11.02.2020;9;1;13;14
12.02.2020;11;2;15;17
13.02.2020;12;2;21;24
14.02.2020;22;10;34;49
15.02.2020;18;3;24;29
16.02.2020;9;0;11;12
17.02.2020;7;1;12;14
18.02.2020;8;2;17;19
19.02.2020;8;2;17;19
20.02.2020;14;2;22;25
21.02.2020;11;1;17;19
22.02.2020;9;1;10;12
23.02.2020;6;0;14;14
24.02.2020;11;1;15;17
25.02.2020;8;1;17;19
26.02.2020;11;3;26;31
27.02.2020;12;2;26;30
28.02.2020;14;2;25;28
29.02.2020;18;1;13;15
01.03.2020;7;1;13;14
02.03.2020;12;3;24;28
03.03.2020;14;5;26;33
04.03.2020;19;4;28;33
05.03.2020;18;5;25;32
06.03.2020;19;3;27;32
07.03.2020;22;1;17;18
08.03.2020;20;1;21;22
09.03.2020;17;3;33;38
10.03.2020;10;1;20;22
11.03.2020;9;2;19;22
12.03.2020;8;1;15;16
13.03.2020;9;2;14;16
14.03.2020;13;1;22;24
15.03.2020;13;1;14;15
16.03.2020;19;4;32;38
17.03.2020;24;7;32;44
18.03.2020;22;2;28;32
19.03.2020;20;3;21;25
20.03.2020;14;1;11;13
21.03.2020;8;0;5;5
22.03.2020;7;0;7;7
23.03.2020;12;2;13;16
24.03.2020;21;1;17;18
25.03.2020;28;1;14;16
26.03.2020;33;2;13;16
27.03.2020;46;1;14;16
28.03.2020;49;1;12;13
29.03.2020;13;1;6;8
30.03.2020;10;2;18;22
31.03.2020;8;1;11;14
01.04.2020;10;2;16;19
02.04.2020;17;1;13;15
03.04.2020;15;2;10;12
04.04.2020;14;1;13;14
05.04.2020;21;0;9;10
06.04.2020;34;1;23;24
07.04.2020;25;1;18;20
08.04.2020;27;2;30;32
09.04.2020;22;3;25;30
10.04.2020;13;1;11;12
11.04.2020;22;1;15;15
12.04.2020;21;1;17;19
13.04.2020;12;0;6;6
14.04.2020;12;1;10;11
15.04.2020;18;1;11;13
16.04.2020;20;2;15;17
17.04.2020;17;2;11;15
18.04.2020;13;1;6;7
19.04.2020;9;0;3;3
20.04.2020;11;1;7;8
21.04.2020;19;1;8;9
22.04.2020;17;1;9;10
23.04.2020;24;2;24;27
24.04.2020;32;5;30;37
25.04.2020;10;0;6;6
26.04.2020;13;1;17;18
27.04.2020;28;5;31;38
28.04.2020;29;3;24;28
29.04.2020;16;2;16;19
30.04.2020;11;1;17;19
01.05.2020;6;1;7;8
02.05.2020;10;1;10;11
03.05.2020;11;1;10;11
04.05.2020;15;6;31;40
05.05.2020;7;1;13;16
06.05.2020;9;1;12;13
07.05.2020;18;3;17;21
08.05.2020;21;3;22;26
09.05.2020;14;1;16;18
10.05.2020;18;0;10;10
11.05.2020;9;1;11;13
12.05.2020;10;2;14;17
13.05.2020;12;2;16;18
14.05.2020;9;4;14;19
15.05.2020;11;3;18;21
16.05.2020;10;0;11;11
17.05.2020;8;0;7;8
18.05.2020;13;1;15;16
