,year,month,week,cc_pays,cc_departement,cc_region,cc_ville,longitude,latitude,NO2,quality,hour_mean,hour_std,dayofweek_mean,dayofweek_std,day_mean,day_std,counter
97,2019,3,10,AF,Undefined,Paktika,Jani Khel,68.452368,32.68987225,5.248044916666667e-06,0.8800000000000002,9.0,0.0,2,0.0,6,0.0,12
98,2019,3,10,AF,Undefined,Paktika,Khayr Kot,68.43317514285714,32.951565714285714,4.2837818e-06,0.88,9.0,0.0,2,0.0,6,0.0,7
99,2019,3,10,AF,Undefined,Paktika,Khoshamand,68.16415864705881,32.655843058823535,4.329669237647059e-06,0.8800000000000003,9.0,0.0,2,0.0,6,0.0,17
100,2019,3,10,AF,Undefined,Paktika,Muta Khan,68.839362,33.302801599999995,3.2606279999999997e-06,0.8800000000000001,9.0,0.0,2,0.0,6,0.0,5
101,2019,3,10,AF,Undefined,Paktika,Omnah,68.76645457142857,32.83509157142857,3.6494786285714287e-06,0.88,9.0,0.0,2,0.0,6,0.0,7
102,2019,3,10,AF,Undefined,Paktika,Yahya Khel,68.613285,32.86058766666667,3.2551158166666668e-06,0.88,9.0,0.0,2,0.0,6,0.0,6
103,2019,3,10,AF,Undefined,Paktika,Zarah Sharan,68.85171000000001,33.100365333333336,2.7357134999999998e-06,0.88,9.0,0.0,2,0.0,6,0.0,3
104,2019,3,10,AF,Undefined,Paktika,Zarghun Shahr,68.36771183333333,32.87822366666666,4.120323316666666e-06,0.88,9.0,0.0,2,0.0,6,0.0,6
105,2019,3,10,AF,Undefined,Paktika,`Alaqahdari Yosuf Khel,68.60222214285714,33.07022114285714,2.8548224428571428e-06,0.88,9.0,0.0,2,0.0,6,0.0,7
106,2019,3,10,AF,Undefined,Parvan,Dahan-e Jarf,68.39880821428571,34.982091357142856,4.276731564285714e-06,0.8800000000000002,9.0,0.0,2,0.0,6,0.0,14
107,2019,3,10,AF,Undefined,Parvan,Siyahgird,68.635155,35.158420500000005,4.74563695e-06,0.88,9.0,0.0,2,0.0,6,0.0,2
108,2019,3,10,AF,Undefined,Samangan,Dehi,67.19783000000001,35.734776000000004,3.3813906e-06,0.88,9.0,,2,,6,,1
109,2019,3,10,AF,Undefined,Samangan,Duab,67.82913333333333,35.61117486666667,4.841939499333333e-06,0.8800000000000003,9.0,0.0,2,0.0,6,0.0,15
110,2019,3,10,AF,Undefined,Samangan,Langar,68.079727,35.767235,6.493759e-06,0.88,9.0,0.0,2,0.0,6,0.0,2
111,2019,3,10,AF,Undefined,Sar-e Pol,Chiras,65.873355,35.203244999999995,5.2722157e-06,0.88,9.0,0.0,2,0.0,6,0.0,2
112,2019,3,10,AF,Undefined,Sar-e Pol,Pasnay,65.73825,35.642212,2.0844464e-06,0.88,9.0,,2,,6,,1
113,2019,3,10,AF,Undefined,Sar-e Pol,Qal`ah-ye Shahr,65.535471,35.3948162,4.3670841000000004e-06,0.8800000000000001,9.0,0.0,2,0.0,6,0.0,5
114,2019,3,10,AF,Undefined,Vardak,Jalrez,68.54301554545455,34.44552009090909,1.5317399619999998e-06,0.8554545345454546,9.0,0.0,2,0.0,6,0.0,11
115,2019,3,10,AF,Undefined,Vardak,Kalan Deh,68.44416718181819,33.85275409090909,2.231813854545455e-06,0.8800000000000001,9.0,0.0,2,0.0,6,0.0,11
116,2019,3,10,AF,Undefined,Vardak,Markaz-e Sayyidabad,68.68035988235295,34.01331,4.939752476470588e-06,0.8800000000000003,9.0,0.0,2,0.0,6,0.0,17
117,2019,3,10,AF,Undefined,Vardak,Maydanshakhr,68.73842,34.289351999999994,3.75393675e-06,0.88,9.0,0.0,2,0.0,6,0.0,2
118,2019,3,10,AF,Undefined,Vardak,Miran,68.3336192631579,34.30550099999999,2.607078840894737e-06,0.8800000000000003,9.0,0.0,2,0.0,6,0.0,19
119,2019,3,10,AF,Undefined,Vardak,Wuleswali Bihsud,67.99410046153847,34.47466738461539,1.1888509199999998e-06,0.8800000000000002,9.0,0.0,2,0.0,6,0.0,13
120,2019,3,10,AF,Undefined,Wilayat-e Baghlan,Baghlan,68.503105,36.306477,8.918330000000001e-06,1.0,9.0,,2,,6,,1
121,2019,3,10,AF,Undefined,Wilayat-e Baghlan,Bazar-e Talah,68.20603263636363,35.43632481818182,5.474224936363636e-06,0.8800000000000001,9.0,0.0,2,0.0,6,0.0,11
122,2019,3,10,AF,Undefined,Wilayat-e Baghlan,Doshi,68.60254,35.437695,8.452990999999999e-06,0.88,9.0,,2,,6,,1
123,2019,3,10,AF,Undefined,Zabul,Hukumat-e Shinkai,67.41353862068965,32.02494779310345,9.86197924827586e-06,0.8799999999999999,9.0,0.0,2,0.0,6,0.0,29
124,2019,3,10,AF,Undefined,Zabul,Khakiran,67.13054229999999,32.87595905,8.100024494999999e-06,0.8800000000000002,9.0,0.0,2,0.0,6,0.0,20
125,2019,3,10,AF,Undefined,Zabul,Mizan `Alaqahdari,66.6294475,32.04079,1.3432163e-05,0.94,9.0,0.0,2,0.0,6,0.0,2
126,2019,3,10,AF,Undefined,Zabul,Nayak,66.76779072727271,32.60388545454545,7.99247159090909e-06,0.8800000000000001,9.0,0.0,2,0.0,6,0.0,11
127,2019,3,10,AF,Undefined,Zabul,Qalat,66.94579749999998,32.07536477777778,1.0369505077777779e-05,0.9066666666666671,9.0,0.0,2,0.0,6,0.0,18
128,2019,3,10,AF,Undefined,Zabul,Sayagaz,67.08665872727273,32.50860636363637,1.0293009118181817e-05,0.8800000000000001,9.0,0.0,2,0.0,6,0.0,11
129,2019,3,10,AF,Undefined,Zabul,Shahr-e Safa,66.34978423076922,31.751901692307687,9.534457884615386e-06,1.0,9.0,0.0,2,0.0,6,0.0,13
130,2019,3,10,AF,Undefined,Zabul,`Alaqahdari Atghar,67.40952712500001,31.715058499999998,1.1355331687499998e-05,0.8800000000000003,9.0,0.0,2,0.0,6,0.0,16
131,2019,3,10,AF,Undefined,Zabul,`Alaqahdari Shah Joy,67.43607237500002,32.48323665625,8.46698895625e-06,0.8799999999999998,9.0,0.0,2,0.0,6,0.0,32
132,2019,3,10,AF,Zaranj,Nimruz,Zaranj,61.965971696969696,30.921361545454545,1.5762019196969693e-05,1.0,9.0,0.0,2,0.0,6,0.0,33
133,2019,3,10,AG,Undefined,Barbuda,Codrington,-61.9768668,17.5006838,3.8101685680000007e-06,1.0,17.0,0.0,2,0.0,6,0.0,5
